Ref,Service subcategory->Name,Team->Name,Service->Name,Request Type,Last team ID->Name,Title_anon,Description_anon,Public_log_anon,instance_count,first_reply,initial_sequence,label_auto,label_category,Ticket_Reference,Team,Service_Name,Service_Subcategory,Status,Priority,Source
R-544314,I need to access network destinations from my computer (while connected to VPN) ->,(GI-UX) Group,Network,Service request,(GI-UX) Network Access,Access to BancoBPM VPN from GFT VPN,"Hi, we need to enable access to BancoBPM VPN from GFT VPN for users Alice Rossi.","********** 2024-08-28 15:38:48 : servicedesk (0) ************

Dear John, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your GFT employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a managers approval. Therefore please add your own name as the approver.

The field GFT Project Manager below only accept persons with Level L5 and above

After this approval an additional review to make sure that the requested network connection follows all the GFT policies will be made. Please complete as much of the requested information as relevant
- GFT Project Manager: Rachel Bianchi (Florence) (X12B)
- Destination (GFT Server, Customer site): BBPM network
- Destination IP address: no ip
- Destination DNS name: appstore.intranet.servizi
- Destination ports/services: no ports
- Project name: BBPM Docfarm
- Justification:
User Alice Rossi need to access BancoBPM portal for project reason.
---------------------------------------------------------------
********** 2024-08-28 15:49:07 : servicedesk (0) ************

Dear John, this ticket has been assigned to Rachel Bianchi (Florence) (X12B) for an Approval review.

If needed,you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-08-28 17:22:26 : Rachel Bianchi (53662) ************

Approved by Rachel Bianchi (Florence) (X12B)",3,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to enable Client-to-Site VPN tunnel requests
- Instructions:
This request requires the approval of your GFT employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a managers approval. Therefore please add your own name as the approver.

The field GFT Project Manager below only accept persons with Level L5 and above

After this approval an additional review to make sure that the requested network connection follows all the GFT policies will be made. Please complete as much of the requested information as relevant
- GFT Project Manager: Rachel Bianchi (Florence) (X12B)
- Destination (GFT Server, Customer site): BBPM network
- Destination IP address: no ip
- Destination DNS name: appstore.intranet.servizi
- Destination ports/services: no ports
- Project name: BBPM Docfarm
- Justification:
User Alice Rossi need to access BancoBPM portal for project reason.",0,to enable Client-to-Site VPN tunnel requests,1,,,,,,,
R-544060,Absence is missing in the current month.,(GI-UX) Application,Kimble,Incident,,incorrect absence time for day 28th august,"Hello,

the absence on August 28th must be 4 hours not two in Kimber. I attach the screen shots

Thanks","********** 2024-08-27 08:40:12 : servicedesk (0) ************

Dear Emma, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request an Absence ticket
- Kimble Knowledge Base:
https://example.com/12345
- Instructions:
Please include:
>> screenshot from SuccessFactor or email proving that the absence in SuccessFactor is approved
>> affected user login in format XXXX or E-XXXX
>> project ID in format KE000000 or URL to it in Kimble
- Affected end user login: https://example.com/67890
- Project ID / URL: https://example.com/67891
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request an Absence ticket
- Kimble Knowledge Base:
https://example.com/12345
- Instructions:
Please include:
>> screenshot from SuccessFactor or email proving that the absence in SuccessFactor is approved
>> affected user login in format XXXX or E-XXXX
>> project ID in format KE000000 or URL to it in Kimble
- Affected end user login: https://example.com/67890
- Project ID / URL: https://example.com/67891",0,to request an Absence ticket,1,,,,,,,
R-543879,* I need software or a license installed on my computer >>,(GI-UX) Group,Windows Software installation,Service request,(GI-IaaS) Admin - License & Asset Management,I need Citrix installation,"I need privilege for Citrix installation for CSE VDI.

Thank you","********** 2024-08-26 11:15:10 : servicedesk (0) ************

Dear Vincent, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request a software or a licence on my Windows device
- Important information:
Installing software or licences increases the risk of harming the integrity of your working device, as well XZY & client infrastructure. An attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Therefore you must accept taking the responsibility for this request as in following business needs, installing from trustworthy sources and applying latest security patches. In case of any suspicious activity please inform databreach@xzy.com.

Some client requirements demands us to not work with additional software or licences, it is highly important that you check prior with your manager that you do not violate client contract by your request and add in the below field a justification of your need.
- I agree to the above Important Information box: Yes I read carefully and understood. I agree to follow it.
- Justification:
I need privilege for Citrix installation for CSE VDI.
- Approval instructions:
For approval, please provide the full name of your XZY employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager's approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L5 and above
- Approval full name: Jordan White (Rome) (G57D)
- Software: Citrix
- License Type: Free for commercial use / open source
- Project Engagement: (Please select ""Other (not in the list)"" if you don't find your Project: Migrazione AMCO-Integrazione Data Hub CSE-Core Layer (KE-046481)
- Project Element::
- Please, add your project here in case you select ""Other (not in the list)"" in the Project Engagement field:
- Do you need support for the installation?: No
- (Please ignore this field) Responsible IT Team:
---------------------------------------------------------------
********** 2024-08-26 11:37:58 : Ethan Bellini (52718) ************

Hi,

I'll now dispatch the ticket to the UX Team that will reach out to you and support you with the installation.

Thanks,

Best Regards",2,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request a software or a licence on my Windows device
- Important information:
Installing software or licences increases the risk of harming the integrity of your working device, as well XZY & client infrastructure. An attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Therefore you must accept taking the responsibility for this request as in following business needs, installing from trustworthy sources and applying latest security patches. In case of any suspicious activity please inform databreach@xzy.com.

Some client requirements demands us to not work with additional software or licences, it is highly important that you check prior with your manager that you do not violate client contract by your request and add in the below field a justification of your need.
- I agree to the above Important Information box: Yes I read carefully and understood. I agree to follow it.
- Justification:
I need privilege for Citrix installation for CSE VDI.
- Approval instructions:
For approval, please provide the full name of your XZY employee manager (L5 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L5 and above, you don't need a manager's approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L5 and above
- Approval full name: Jordan White (Rome) (G57D)
- Software: Citrix
- License Type: Free for commercial use / open source
- Project Engagement: (Please select ""Other (not in the list)"" if you don't find your Project: Migrazione AMCO-Integrazione Data Hub CSE-Core Layer (KE-046481)
- Project Element::
- Please, add your project here in case you select ""Other (not in the list)"" in the Project Engagement field:
- Do you need support for the installation?: No
- (Please ignore this field) Responsible IT Team:",0,to request a software or a licence on my Windows device,1,,,,,,,
R-543493,* I need administrator rights on my computer >>,(GI-CF) Robot Process Automation,Corporate computers,Service request,(BF) Information Security Office,I need admin rights to configure the workspace for SPPI Tool,I need admin rights to configure the workspace for SPPI Tool.,"********** 2024-08-23 11:30:04 : servicedesk (0) ************

Dear Sofia, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: Yes (Please do not use this subcategory if you need to install Software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer) do not open this ticket
- Do you need temporary short or long term admin rights?: Short Term: Choose this if Group IT cannot perform the task for you (Please do not open this ticket if you need to install software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer)
- General Instructions:
Please provide the full name of your GFT employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: Luca Ferrari (Milano) (A60C)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: GFT-ABC12345def (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, GFT & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
Banco BPM, tool SPPI
- Justification, including the list of software/actions that requires you to have admin Rights:
I need to install Oracle Database 12c and Eclipse
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rigths are still needed.
- GFT Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base GFT Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the GFT Group environment:
✔️ Only personnel from GFT Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of GFT Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between GFT Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a GFT Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base GFT Group system installation deployed on the user’s workstation.
? Stop, crash, or block any service that protects and manages the workstation (i",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request admin rights on the computer
- Do you need admin rights for one-time action / software installation?: Yes (Please do not use this subcategory if you need to install Software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer) do not open this ticket
- Do you need temporary short or long term admin rights?: Short Term: Choose this if Group IT cannot perform the task for you (Please do not open this ticket if you need to install software just one time. Use the Service and Subcategory Windows Software Installation - I need software or a license installed on my computer)
- General Instructions:
Please provide the full name of your GFT employee manager (L6 or above). If they are unavailable, please provide an alternative contact to complete this request.

NOTE: If you are L6 and above, you don't need a manager approval. Therefore please add your own name as the approver.

The field below only accept persons with Level L6 and above
- Project Manager Full name: Luca Ferrari (Milano) (A60C)
- Computer name information:
Below you will find the computers Group IT has already assigned to you, the available names may not match the one on the label of your PC.

To identify your computer name pls check the Device Name in the company portal application or open a cmd command window and write hostname.

If your PC is not in the list, please ensure to select Not in the list (PC) and place the name of your computer in the Other Computer Name field, in that case, ensure to fill that field.
- Computer Name: GFT-ABC12345def (PC)
- Other Computer name:
- Computer System: Windows
- Additional information:
Granting permanent local admin rights increases the risk for the harming integrity of your working device, GFT & client infrastructure, as an attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Permanent admin rights should only be requested, if you need it for regular repeating tasks for daily business (please provide reason in ticket request, it will not approved without proper justification).
Temporary admin rights for a short period of time or for one-time software installation if it could not be carried out by Group IT.

Some clients requirements demands us to not work with local admin rights, it is highly important that you check prior with your manager that you do not violate client contract by your request.
- List clients and projects you work on.:
Banco BPM, tool SPPI
- Justification, including the list of software/actions that requires you to have admin Rights:
I need to install Oracle Database 12c and Eclipse
- Important Information:
The provided local admin rights will require to be renewed after 12 Months after the approval. A new request will be required at that time if those rigths are still needed.
- GFT Local Admin Rights Policy:
Local Administration Rights (LAR) allows a user to operate their assigned workstation system with elevated privileges; this means, installing or customizing software not found on the base GFT Group system installations.

The following conditions and rules apply when using LAR privileges on a system provisioned by and used within the GFT Group environment:
✔️ Only personnel from GFT Group may request LAR privileges.
✔️ Only personnel who are authorized and hold LAR privileges may install software on their assigned workstation.
✔️ Only software intended and related to support activities and the needs of GFT Group is eligible and may be installed.

- The following types of software may be installed:
✔️ Licensed software for which a valid usage license agreement exists between GFT Group (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Licensed software for which a valid usage license agreement exists between a GFT Group Nominated End-User (licensee) and the Software Vendor (licensor), irrespective of who acquires the license.
✔️ Open-source software licensed under an approved OSI license (http://www.opensource.org/licenses/alphabetical) where:
✔️ software is provided free of charge for commercial use,
✔️ does not contain advertising banners,
✔️ does not send any statistical data to third-party companies

- It is explicitly forbidden to:
? Alter the base GFT Group system installation deployed on the user’s workstation.
? Stop, crash, or block any service that protects and manages the workstation (i",0,to request admin rights on the computer,1,,,,,,,
R-543474,* I need support about local software / programs,(GI-UX) File & Print,Corporate computers,Service request,(GI-UX) Windows,Ivanti new version,"Hi,

I need to install the new version of ivanti pulse secure (a VPN that i use to connect at client servers of Gamma Corp).
I already have the installer (msi) downloaded by Gamma but I need administration user e password to proceed.

Thanks","********** 2024-08-23 10:20:04 : servicedesk (0) ************

Dear John, Below you will find the additional form information for that request and the information you filled out.
--------------------------------------------------------------

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer
---------------------------------------------------------------
********** 2024-08-23 10:29:01 : Jane Doe (41499) ************

Dear colleague,

Please note that this request requires additional information to proceed with.

---------------------------------------------------------------

The easiest way to provide the information is to open a new request from the portal using the following link:

For Windows: [Windows Software installation - * I need software or a licence installed on my computer ->](https://short.url/j1k2l)

For Mac: [Apple Software installation (jamf) - I need software or a licence installed on my computer ->](https://short.url/m3n4o)
---------------------------------------------------------------

Also, you can provide needed information in this ticket:

Note: If you don't provide this information, ticket will be closed after five working days.

General instructions:

For an approval, please provide the full name of your Manager (level L5 or above). In case of a Manager's unavailability, please provide an alternative contact to reach.

NOTE: If your current level is L5 or higher, just add your own name into the approver filed.

Important information

Installing software or licences increases the risk of harming the integrity of your working device, as well XYZ & client infrastructure. An attacker or malicious software can misuse your privileged user account for serious impact, as changing system settings, installing system-level software or steal confidential information, like passwords.

Therefore you must accept taking the responsibility for this request as in following business needs, installing from trustworthy sources and applying latest security patches. In case of any suspicious activity please inform databreach@xyz.com.

Some client requirements demands us to not work with additional software or licences, it is highly important that you check prior with your manager that you do not violate client contract by your request and add in the below field a justification of your need.

- I agree to the above Important Information (Yes I read carefully and understood, I agree to follow it):
- Justification:
- Approver full name L5 or above:
- Software:
- License Type (Free for Commercial use / Pay per License / I have already a license):
- Project Engagement: (in case a purchase is needed):
- Project Element:
- Do you need support for the installation? (no admin rights) Yes or No:

Thank you and best regards,
Group IT.",2,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer",0,to support you about local software / programs,1,,,,,,,
R-543085,I cannot access to JIRA although I have a license assigned,(GI-UX) File & Print,Jira / Jira Service Management (JSM),Service request,,I cannot access Jira,"Hi,

Me and my team can't access Jira this morning. The site returns error 502.

502 Bad Gateway
---------------------------------------------------------------

Microsoft-Azure-Application-Gateway/v2

We all have a Jira licence, it was working well yesterday evening. The Jira project is https://short.url/CCBGPM.

Could you please check?

Thank you.

Nathan","********** 2024-08-21 09:41:41 : servicedesk (0) ************

Dear Nathan Pierce, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed if you cannot access to JIRA although I have a license assigned
- Important information::
Please, verify you have a license to access the application at: https://short.url/106/create/1020

In case you do not have a license, your project manager needs to raise a specific request ‘I need a Jira license’ to be reviewed and approved.
- Do you confirm that you have a Jira license?: Yes. I confirm I have verified it and I have a license assigned
---------------------------------------------------------------
********** 2024-08-21 09:46:17 : John Doe (38606) ************

Hello

Jira services has some problems.
BE teams currently on the problem.

It will solve in 30 60 minutes.

Thanks.",2,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed if you cannot access to JIRA although I have a license assigned
- Important information::
Please, verify you have a license to access the application at: https://short.url/106/create/1020

In case you do not have a license, your project manager needs to raise a specific request ‘I need a Jira license’ to be reviewed and approved.
- Do you confirm that you have a Jira license?: Yes. I confirm I have verified it and I have a license assigned",0,if you cannot access to JIRA although I have a license assigned,1,,,,,,,
R-543065,I need additional support,(GI-IaaS) Development Platform,Jira / Jira Service Management (JSM),Service request,(GI-SM) Service Desk,Error while accessing to jira.kpw.com,"Hello,

this morning is not possible to access to the portal jira.kpw.com; error message is ""502 - Bad Gateway"". See attachment for details.

Thank you,

Lorenzo Moretti","********** 2024-08-21 09:28:53 : Sonia Kruszewska (58812) ************

We have an unplanned outage and we are working on restoring the service.
********** 2024-08-21 10:30:41 : Marc Martino (15396) ************

Hi,

service restored and now is working again.

Best regards,",2,We have an unplanned outage and we are working on restoring the service.,2,other,5,,,,,,,
R-542923,I need help using the tool,(GI-UX) Office365 & MS-Teams,Office 365 - OneDrive,Service request,(GI-SM) Service Desk,OneDrive doesn't sync,"They keep turning the little arrows but there is always the words “Signing in.”
I have already tried closing the app and restarting the mac.","********** 2024-08-20 15:20:04 : servicedesk (0) ************

Dear Alice, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to request help on OneDrive
- Important Information:
Please before open the request, check the below links if you need additional OneDrive training materials.

OneDrive Training page: https://short.url/training
- Which device type are you using?: BRT Imaged macOS
- Select your device:: ITPC826114 (PC)
- Which connection to internet are you using?: Home Office (Wi-Fi)
- If you select on the previous field Customer Network, please add the customer name::
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to request help on OneDrive
- Important Information:
Please before open the request, check the below links if you need additional OneDrive training materials.

OneDrive Training page: https://short.url/training
- Which device type are you using?: BRT Imaged macOS
- Select your device:: ITPC826114 (PC)
- Which connection to internet are you using?: Home Office (Wi-Fi)
- If you select on the previous field Customer Network, please add the customer name::",0,to request help on OneDrive,1,,,,,,,
R-542875,I need a Jira license->,(GI-IaaS) Development Platform,Jira / Jira Service Management (JSM),Service request,,I need a Jira license,"Good morning,

I need a Jira license for the following project: ASDFGHJKLM

It is a Jira about the DoD application of BankXYZ.","********** 2024-08-20 10:25:51 : servicedesk (0) ************

Dear John, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed if you need a Jira license
- Is the license for an Internal or for an External User?: Internal User
- Internal user that requires the license: John Smith (Padova) (A87Z)
- External user that requires the license:
- For which app you need the license: Jira Service Management (JSM)
- Project Engagement: 2022_AB123456_XYZ_RISK_DoD_PROJECTS_Orange (KE-031465)
- Please, add your project here in case you don't find your project and select ""Other (not in the list)"" in the Project Engagement field:
- How to identify the project key for a Jira / Jira Service Management project::
All issues have and identifier composed by <Project_Key>-<seq> that can be found on any URL issue related to the Project.

https://jira.example.com/projects/""Project_Key""

Please, provide your project key or an URL pointing to any project issue where you need access (those URL's can be retrieved from any e-mail notification from Jira).

Please keep in mind that https://jira.example.com/servicedesk/customer/portals is not valid project URL.
- Jira Project (project key and/or any link to the project): ASDFGHJKLM
- Justification:
At the moment I can only see the tickets. With the license I expect that i can assign myself tickets and log hours on them.
---------------------------------------------------------------
********** 2024-08-20 10:58:41 : Anna Kowalska (41499) ************

ASDFGHJKLMXYZ Support - BBPM DoDJSM (Jira Service Management)ItalyL'Altrella, MichaelActive
********** 2024-08-20 10:59:22 : servicedesk (0) ************

Dear John, this ticket has been assigned to Michael L'Altrella (Milano) (AILA) for an Approval review.

If needed, you can contact the approvers to know about the approval status, please use iTop to inquire about the status of the approval.
********** 2024-08-20 11:51:33 : Michael L'Altrella (40629) ************

Approved by Michael L'Altrella (Milano) (AILA)
********** 2024-08-20 13:23:20 : Carlos Martinez (19195) ************

Hi,

License has been assigned. Users can check their licenses at https://jira.example.com/servicedesk/customer/portal/106/create/1020

Please, take into account license allows access to the application, but it is also necessary to have permissions at project/space level. Those permissions are managed by project/space administrators directly.

I close the issue. Please, reopen it in case of any problem.
Thank you",5,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed if you need a Jira license
- Is the license for an Internal or for an External User?: Internal User
- Internal user that requires the license: John Smith (Padova) (A87Z)
- External user that requires the license:
- For which app you need the license: Jira Service Management (JSM)
- Project Engagement: 2022_AB123456_XYZ_RISK_DoD_PROJECTS_Orange (KE-031465)
- Please, add your project here in case you don't find your project and select ""Other (not in the list)"" in the Project Engagement field:
- How to identify the project key for a Jira / Jira Service Management project::
All issues have and identifier composed by <Project_Key>-<seq> that can be found on any URL issue related to the Project.

https://jira.example.com/projects/""Project_Key""

Please, provide your project key or an URL pointing to any project issue where you need access (those URL's can be retrieved from any e-mail notification from Jira).

Please keep in mind that https://jira.example.com/servicedesk/customer/portals is not valid project URL.
- Jira Project (project key and/or any link to the project): ASDFGHJKLM
- Justification:
At the moment I can only see the tickets. With the license I expect that i can assign myself tickets and log hours on them.",0,if you need a Jira license,1,,,,,,,
R-542649,* I need an employee password reset,(GI-UX) Group,Groups & user accounts,Service request,,Problem with password of access Windows,"During my holidays my login password expired. I changed my password via XYZ Corp's VPN (as that was the only service I could access). However, when the PC starts, the expired password is present. Trying to 'Change Password' (with ctrl + alt + del), it says that it is not possible to change the password because the parameters to change it do not match.","********** 2024-08-19 11:25:04 : servicedesk (0) ************

Dear John, Below you will find the additional form information for that request and the information you filled out.
---------------------------------------------------------------

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer
---------------------------------------------------------------",1,"Below you will find the additional form information for that request and the information you filled out.

- Need: Extra information needed to support you about local software / programs
- Important information::
This one is to provide support to installed programs I need support local programs, if you need a software or a licence please use the following category:
* I need software or a license installed on my computer",0,to support you about local software / programs,1,,,,,,,
