score_bin,n,mean_score,mean_usefulness_sim,p_same_reply,p_same_group,p_useful_08
"(-0.001, 0.0]",84792,0.0,0.3583409,0.007783753184262666,0.0009670723653174828,0.08238984809887726
"(0.0, 0.1]",6896,0.09986948955916473,0.48385426,0.049593967517401395,0.002465197215777262,0.08251160092807425
"(0.1, 0.2]",7816,0.19996801432958036,0.55851746,0.09685261003070625,0.0060133060388945754,0.17528147389969292
"(0.2, 0.3]",8877,0.2997183733243213,0.6048696,0.10544102737411287,0.005069280162216965,0.2550411174946491
"(0.3, 0.4]",8164,0.39895271925526704,0.6751668,0.13045075943165116,0.006614404703576678,0.39514943655071044
"(0.4, 0.5]",28264,0.4999734644777809,0.72303796,0.09443107840362298,0.011109538635720352,0.529861307670535
"(0.5, 0.6]",8832,0.5998867753623188,0.76058894,0.19350090579710144,0.008152173913043478,0.5871829710144928
"(0.6, 0.7]",10973,0.697995078829855,0.7934317,0.2924450924997722,0.009842340289802241,0.6708283969743917
"(0.7, 0.8]",7778,0.7943083054769864,0.8230224,0.44201594240164566,0.02224222165080998,0.7436358961172538
"(0.8, 0.9]",3025,0.8751239669421488,0.82932365,0.484297520661157,0.04033057851239669,0.7755371900826447
"(0.9, 1.0]",183,0.9877049180327869,0.667584,0.18579234972677597,0.12568306010928962,0.36065573770491804
