score_bin,n,mean_score,mean_usefulness_sim,p_same_reply,p_same_group,p_useful_08
"(-0.001, 0.0]",103159,0.0,0.36003157,9.693773689159453e-05,0.0,0.06037282253608507
"(0.0, 0.1]",3283,0.1,0.58033043,0.0009137983551629607,0.0,0.08559244593359731
"(0.1, 0.2]",8453,0.19992310422335266,0.6056956,0.01360463740683781,0.0001183011948420679,0.18147403288773217
"(0.2, 0.3]",7032,0.29828640500568826,0.65435153,0.06555745164960182,0.0017064846416382253,0.3380261660978385
"(0.3, 0.4]",2570,0.39857976653696503,0.7359282,0.20700389105058364,0.002723735408560311,0.5490272373540857
"(0.4, 0.5]",27427,0.49999817697888943,0.77567977,0.20406898311882452,0.0030262150435702044,0.6173478688883217
"(0.5, 0.6]",1295,0.5998841698841699,0.8527193,0.47335907335907335,0.005405405405405406,0.8038610038610039
"(0.6, 0.7]",2622,0.6970251716247139,0.8561632,0.45423340961098396,0.002669717772692601,0.7814645308924485
"(0.7, 0.8]",3884,0.7942456230690011,0.8737209,0.3504119464469619,0.0033470648815653965,0.8074150360453141
"(0.8, 0.9]",3277,0.8891486115349405,0.9077697,0.3750381446444919,0.003051571559353067,0.8889227952395483
"(0.9, 1.0]",12598,0.9970757263057628,0.96917737,0.4105413557707573,0.07278933163994285,0.9709477694872202
