scope,mean,n
global,0.2520727790432802,175600.0
class:absence,0.10225,4400.0
class:admin_rights,0.5235955284552846,24600.0
class:collaboration,0.0583,1000.0
class:email_support,0.04116176470588235,3400.0
class:enterprise_systems,0.03372727272727273,4400.0
class:hardware_support,0.049508333333333335,6000.0
class:hr_tools,0.042,1000.0
class:offboarding,0.39553728070175437,22800.0
class:office_access,0.1885,1200.0
class:onboarding,0.3511333333333333,18000.0
class:other,0.07751187500000001,32000.0
class:password_reset,0.07832352941176471,3400.0
class:project_tools,0.035875,1600.0
class:software_license,0.2954955357142857,22400.0
class:software_support,0.1500357142857143,11200.0
class:vpn_access,0.1966758241758242,18200.0
team:(BF) Employee Platform (SAP SF),0.013214285714285715,1400.0
team:(BF) Information Security Office,0.678515,2000.0
team:(GI-CF) Robot Process Automation,0.5716677215189874,15800.0
team:(GI-CyberSec) Cybersecurity,0.018000000000000002,200.0
team:(GI-CyberSec) Security Operation Center,0.04317857142857143,1400.0
team:(GI-IaaS) Admin - IT Purchase Problem Management,0.0055000000000000005,200.0
team:(GI-IaaS) Admin - License & Asset Management,0.1806923076923077,2600.0
team:(GI-IaaS) Admin - Local IT purchase,0.048777777777777774,1800.0
team:(GI-IaaS) Azure Data Center,0.004,200.0
team:(GI-IaaS) Backend Application Srv. & Project Support,0.35892241379310347,5800.0
team:(GI-IaaS) Backend M365 (2nd level),0.029214285714285713,1400.0
team:(GI-IaaS) Backend System Management (2nd level),0.05125,600.0
team:(GI-IaaS) Cloud Services,0.0859,1000.0
team:(GI-IaaS) Development Platform,0.23212847222222222,14400.0
"team:(GI-IaaS) Network Cloud (Azure, Remote Access)",0.1528392857142857,2800.0
"team:(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",0.19621,5000.0
team:(GI-SM) PMS,0.155,200.0
team:(GI-SM) Service Desk,0.11913461538461538,2600.0
team:(GI-SaaS) BI & SuccessFactors,0.0225,200.0
"team:(GI-SaaS) Marketing, Communications & Web",0.037125,800.0
team:(GI-SaaS) SAP & Synertrade,0.03307692307692308,2600.0
team:(GI-SaaS) Salesforce,0.06069827586206897,11600.0
team:(GI-UX) Account Management,0.33814197530864193,16200.0
team:(GI-UX) Application,0.08299999999999999,2400.0
team:(GI-UX) File & Print,0.2752893518518518,21600.0
team:(GI-UX) Group,0.22215895953757225,34600.0
team:(GI-UX) Mobile Device Management,0.03675,800.0
team:(GI-UX) Network Access,0.2010625,12000.0
team:(GI-UX) Office365 & MS-Teams,0.047562499999999994,1600.0
team:(GI-UX) System Management & Anti Virus,0.0125,200.0
team:(GI-UX) Unified Communication,0.040350000000000004,1000.0
team:(GI-UX) Windows,0.20366666666666666,2400.0
team:(LF) Facilities Iberia,0.0265,200.0
team:(LF) IT Office Access Italy,0.35503289473684213,7600.0
team:{GI-SM} Team Communication,0.032625,400.0
intersection:absence:(GI-SaaS) Salesforce,0.099125,2800.0
intersection:absence:(GI-UX) Application,0.10771875,1600.0
intersection:admin_rights:(BF) Information Security Office,0.6826944444444444,1800.0
intersection:admin_rights:(GI-CF) Robot Process Automation,0.5722692307692308,15600.0
intersection:admin_rights:(GI-SaaS) Salesforce,0.068,2000.0
intersection:admin_rights:(GI-UX) File & Print,0.48473684210526313,3800.0
