scope,mean,n
global,0.22789179954441915,175600.0
class:absence,0.12026136363636362,4400.0
class:admin_rights,0.38750203252032517,24600.0
class:collaboration,0.036899999999999995,1000.0
class:email_support,0.03333823529411765,3400.0
class:enterprise_systems,0.03840909090909091,4400.0
class:hardware_support,0.056175,6000.0
class:hr_tools,0.02785,1000.0
class:offboarding,0.45349122807017545,22800.0
class:office_access,0.07133333333333333,1200.0
class:onboarding,0.36069166666666663,18000.0
class:other,0.046421875,32000.0
class:password_reset,0.09394117647058822,3400.0
class:project_tools,0.043562500000000004,1600.0
class:software_license,0.22356696428571426,22400.0
class:software_support,0.19569196428571428,11200.0
class:vpn_access,0.18022252747252748,18200.0
team:(BF) Employee Platform (SAP SF),0.006285714285714286,1400.0
team:(BF) Information Security Office,0.44994999999999996,2000.0
team:(GI-CF) Robot Process Automation,0.4235348101265823,15800.0
team:(GI-CyberSec) Cybersecurity,0.0175,200.0
team:(GI-CyberSec) Security Operation Center,0.03503571428571428,1400.0
team:(GI-IaaS) Admin - IT Purchase Problem Management,0.005,200.0
team:(GI-IaaS) Admin - License & Asset Management,0.16132692307692306,2600.0
team:(GI-IaaS) Admin - Local IT purchase,0.05333333333333334,1800.0
team:(GI-IaaS) Azure Data Center,0.005,200.0
team:(GI-IaaS) Backend Application Srv. & Project Support,0.47281896551724134,5800.0
team:(GI-IaaS) Backend M365 (2nd level),0.016214285714285712,1400.0
team:(GI-IaaS) Backend System Management (2nd level),0.010750000000000001,600.0
team:(GI-IaaS) Cloud Services,0.0146,1000.0
team:(GI-IaaS) Development Platform,0.14579861111111111,14400.0
"team:(GI-IaaS) Network Cloud (Azure, Remote Access)",0.07198214285714286,2800.0
"team:(GI-IaaS) Network On-Prem (LAN,WLAN,WAN 2nd level)",0.1832,5000.0
team:(GI-SM) PMS,0.0055000000000000005,200.0
team:(GI-SM) Service Desk,0.10784615384615384,2600.0
team:(GI-SaaS) BI & SuccessFactors,0.005,200.0
"team:(GI-SaaS) Marketing, Communications & Web",0.0138125,800.0
team:(GI-SaaS) SAP & Synertrade,0.01873076923076923,2600.0
team:(GI-SaaS) Salesforce,0.05881034482758621,11600.0
team:(GI-UX) Account Management,0.27982407407407406,16200.0
team:(GI-UX) Application,0.10433333333333333,2400.0
team:(GI-UX) File & Print,0.3142930555555556,21600.0
team:(GI-UX) Group,0.22142832369942198,34600.0
team:(GI-UX) Mobile Device Management,0.02725,800.0
team:(GI-UX) Network Access,0.171175,12000.0
team:(GI-UX) Office365 & MS-Teams,0.0215,1600.0
team:(GI-UX) System Management & Anti Virus,0.0105,200.0
team:(GI-UX) Unified Communication,0.0237,1000.0
team:(GI-UX) Windows,0.2359375,2400.0
team:(LF) Facilities Iberia,0.01,200.0
team:(LF) IT Office Access Italy,0.37882894736842104,7600.0
team:{GI-SM} Team Communication,0.00625,400.0
intersection:absence:(GI-SaaS) Salesforce,0.11053571428571428,2800.0
intersection:absence:(GI-UX) Application,0.13728125,1600.0
intersection:admin_rights:(BF) Information Security Office,0.45358333333333334,1800.0
