rule,feature,threshold,pct_open,mean_delta,run
top1_faiss_below_0.632,top1_faiss,0.6323646068572998,0.2006269592476489,0.0025206912414033585,M2_team_dev_blind_continuous
top1_faiss_below_0.792,top1_faiss,0.7915699005126953,0.4012539184952978,0.006742989778705525,M2_team_dev_blind_continuous
top1_faiss_below_0.898,top1_faiss,0.8980841636657715,0.5987460815047022,0.009229363762659712,M2_team_dev_blind_continuous
top1_faiss_below_0.979,top1_faiss,0.9788450956344604,0.799373040752351,0.0006940270712756812,M2_team_dev_blind_continuous
max_lift_above_-0.034,max_lift,-0.03421818181818183,0.799373040752351,-0.026314853897849592,M2_team_dev_blind_continuous
max_lift_above_0.000,max_lift,0.0,0.6802507836990596,-0.028089848501742072,M2_team_dev_blind_continuous
max_lift_above_0.039,max_lift,0.03875000000000002,0.4263322884012539,-0.027147342325377986,M2_team_dev_blind_continuous
max_lift_above_0.132,max_lift,0.1323076923076923,0.20376175548589343,-0.0036991255410412636,M2_team_dev_blind_continuous
top1_faiss_below_0.632,top1_faiss,0.6323646068572998,0.2006269592476489,0.0011561085998451448,M4_intersection_dev_blind_continuous
top1_faiss_below_0.792,top1_faiss,0.7915699005126953,0.4012539184952978,0.002289891242980957,M4_intersection_dev_blind_continuous
top1_faiss_below_0.898,top1_faiss,0.8980841636657715,0.5987460815047022,0.0021304341038940093,M4_intersection_dev_blind_continuous
top1_faiss_below_0.979,top1_faiss,0.9788450956344604,0.799373040752351,-0.01330294352620373,M4_intersection_dev_blind_continuous
max_lift_above_0.000,max_lift,0.0,0.9059561128526645,-0.05141132953211805,M4_intersection_dev_blind_continuous
max_lift_above_0.035,max_lift,0.034666666666666686,0.5987460815047022,-0.05231109448361172,M4_intersection_dev_blind_continuous
max_lift_above_0.104,max_lift,0.1039999999999999,0.4012539184952978,-0.046249077331309785,M4_intersection_dev_blind_continuous
max_lift_above_0.156,max_lift,0.15555555555555556,0.20689655172413793,-0.012088340978637384,M4_intersection_dev_blind_continuous
