policy,threshold,mean_delta,pct_open,run
always_on,,0.009587476829936886,1.0,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
never_on,,0.0,0.0,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
oracle,,0.022873796592685496,0.30407523510971785,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
learned,0.3,0.00962306708564579,0.4263322884012539,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
learned,0.4,0.004937023718528987,0.2476489028213166,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
learned,0.5,0.0027597647942719417,0.12225705329153605,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
learned,0.6,0.001591281597517127,0.05329153605015674,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
learned,0.7,-1.620274726126261e-05,0.025078369905956112,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
always_on,,0.007236951197202676,1.0,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
never_on,,0.0,0.0,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
oracle,,0.023283206230046982,0.3510971786833856,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
learned,0.3,0.0086593806369925,0.6018808777429467,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
learned,0.4,0.00044420272765862155,0.3072100313479624,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
learned,0.5,-0.0003865032360471528,0.15047021943573669,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
learned,0.6,-0.0005190819034755791,0.06896551724137931,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
learned,0.7,-0.0010447916939714487,0.0219435736677116,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
