rule,feature,threshold,pct_open,mean_delta,run
top1_faiss_below_0.632,top1_faiss,0.6323646068572998,0.2006269592476489,0.0018164874010698922,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
top1_faiss_below_0.792,top1_faiss,0.7915699005126953,0.4012539184952978,0.0037016735695372554,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
top1_faiss_below_0.898,top1_faiss,0.8980841636657715,0.5987460815047022,0.0032353164120153947,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
top1_faiss_below_0.979,top1_faiss,0.9788450956344604,0.799373040752351,0.008747825264743877,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
max_lift_above_0.006,max_lift,0.006262602535555838,0.799373040752351,0.008821654188969292,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
max_lift_above_0.011,max_lift,0.010767624124839944,0.5987460815047022,0.006515182671502092,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
max_lift_above_0.020,max_lift,0.019758657349989966,0.4012539184952978,0.007587918200089266,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
max_lift_above_0.036,max_lift,0.0362567169878437,0.2006269592476489,0.0012791481417922016,M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2
top1_faiss_below_0.632,top1_faiss,0.6323646068572998,0.2006269592476489,0.0018818995048259866,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
top1_faiss_below_0.792,top1_faiss,0.7915699005126953,0.4012539184952978,0.0033985382430605756,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
top1_faiss_below_0.898,top1_faiss,0.8980841636657715,0.5987460815047022,0.0020456209451800975,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
top1_faiss_below_0.979,top1_faiss,0.9788450956344604,0.799373040752351,0.007049305031665814,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
max_lift_above_0.008,max_lift,0.00780461847703541,0.799373040752351,0.008852275187692672,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
max_lift_above_0.013,max_lift,0.01296276418194277,0.5987460815047022,0.005328424625262198,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
max_lift_above_0.022,max_lift,0.02232931695320931,0.4012539184952978,0.0026891791614992865,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
max_lift_above_0.053,max_lift,0.052820321234464666,0.2006269592476489,0.000538273945123798,M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1
