feature,direction,threshold,dev_policy,pct_open
top5_min_score,below,0.9521057605743408,0.009550215547519447,0.8025078369905956
semantic_mean,below,0.9087067013978958,0.009462387930967448,0.8025078369905956
top5_mean_score,below,0.9567433595657349,0.008990024498766925,0.8025078369905956
evidence_class_top5,below,187.0,0.008364273630008946,0.500361707258259
top1_score,below,0.9536957144737244,0.008159087505977585,0.7021943573667712
semantic_top1,below,0.9536954164505005,0.008159087505977585,0.7021943573667712
evidence_class_top5,below,296.0,0.008073396086046026,0.6001929105377382
evidence_class_top5,below,358.0,0.007602717311505326,0.7026766337111164
evidence_intersection_top5,below,69.0,0.007418801420089104,0.5032553653243308
evidence_class_top5,below,129.0,0.007375483663650717,0.4012539184952978
semantic_mean,below,0.5376551088690757,0.00696665807850596,0.5015673981191222
top5_min_score,below,0.8564997911453247,0.006875531117772953,0.7021943573667712
semantic_mean,below,0.6015490418672562,0.006754202959995716,0.6018808777429467
evidence_intersection_top5,below,40.0,0.006727756889708105,0.42030383409693756
top5_mean_score,below,0.8876645803451538,0.006527122924895295,0.7021943573667712
evidence_global_top5,below,725.1999999999998,0.00652238090073657,0.5999517723655655
semantic_mean,below,0.6542707926034927,0.006466690836281612,0.7021943573667712
top5_min_score,below,0.7832673788070679,0.006447000239940042,0.6018808777429467
top1_score,below,0.898497462272644,0.006392854278220422,0.6018808777429467
semantic_top1,below,0.8984975218772888,0.006392854278220422,0.6018808777429467
top5_min_score,below,0.7076748013496399,0.006378966219919056,0.5015673981191222
semantic_top1,below,0.8452457785606384,0.006293471872964651,0.5015673981191222
top1_score,below,0.8452458381652832,0.006293471872964651,0.5015673981191222
top5_mean_score,below,0.8159920692443847,0.006141309403844244,0.6018808777429467
top5_min_score,below,0.6391569375991821,0.0060864364221235746,0.4012539184952978
top5_mean_score,below,0.6886500358581543,0.0059569405739009025,0.4012539184952978
top5_mean_score,below,0.7511730790138245,0.005918257030085077,0.5015673981191222
semantic_top1,below,0.7914109826087952,0.005695992994946631,0.4012539184952978
top1_score,below,0.7914108633995056,0.005695992994946631,0.4012539184952978
top1_score,below,0.7272045612335205,0.005607422630787471,0.30094043887147337
semantic_top1,below,0.7272048592567444,0.005607422630787471,0.30094043887147337
evidence_class_top5,below,104.0,0.005537910485284887,0.30793344586448035
coverage_intersection,below,0.98,0.005145122478791309,0.3248131179165662
semantic_mean,below,0.4263393414020538,0.005036666908478604,0.30094043887147337
semantic_mean,below,0.47661975145339963,0.004973145980187603,0.4012539184952978
evidence_team_top5,below,102.0,0.004915985799580274,0.4043887147335423
top5_mean_score,below,0.6279935836791992,0.0045925215881992484,0.30094043887147337
evidence_intersection_top5,below,25.0,0.0045637549126841,0.301181577043646
evidence_global_top5,below,573.0,0.004390988929216506,0.5022908126356402
semantic_top1,below,0.630275309085846,0.00438067138784329,0.2006269592476489
top1_score,below,0.630275309085846,0.00438067138784329,0.2006269592476489
evidence_class_top5,below,74.0,0.004337647596065585,0.20159151193633953
top5_min_score,below,0.5730628967285156,0.00416427404083687,0.30094043887147337
n_top_changed,below,4.0,0.0038960634447564152,0.7137689896310586
n_top_changed,below,4.0,0.0038960634447564152,0.7137689896310586
evidence_global_top5,below,448.0,0.0037480141830093638,0.4024596093561611
evidence_global_top5,below,821.0,0.0036637757251082714,0.7014709428502532
semantic_mean,below,0.3749394863843918,0.0035772383813114086,0.2006269592476489
evidence_global_top5,below,379.0,0.0034997854745615125,0.3021461297323366
evidence_intersection_top5,below,104.59999999999991,0.003238118358525938,0.5999517723655655
top1_score,below,0.9791168570518494,0.003198153796341438,0.8025078369905956
semantic_top1,below,0.9791166186332703,0.003198153796341438,0.8025078369905956
evidence_team_top5,below,55.0,0.0028490697386065306,0.3045575114540632
top5_mean_score,below,0.5600010871887207,0.0027514909092477926,0.2006269592476489
