run,n,delta_cosine_mean,delta_cosine_ci_lo,delta_cosine_ci_hi,delta_cosine_wilcoxon_p,delta_cosine_pct_improved,delta_rouge_l_mean,delta_rouge_l_ci_lo,delta_rouge_l_ci_hi,delta_rouge_l_wilcoxon_p,delta_rouge_l_pct_improved,delta_cosine_bge_mean,delta_cosine_bge_ci_lo,delta_cosine_bge_ci_hi,delta_cosine_bge_wilcoxon_p,delta_cosine_bge_pct_improved,max_abs_cosine_recompute_diff,delta_bertscore_f1_mean,delta_bertscore_f1_ci_lo,delta_bertscore_f1_ci_hi,delta_bertscore_f1_wilcoxon_p,delta_bertscore_f1_pct_improved
baseline_dev_conditioned_continuous,319,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,2.980232238769531e-07,,,,,
M1_global_dev_blind_binary,319,-0.021761194478755463,-0.03687298155059822,-0.007945344482656568,0.23936427796981852,0.19122257053291536,-0.019952857334806524,-0.03505595673977925,-0.006188987908693489,0.5812384128361933,0.18808777429467086,-0.008103757069028657,-0.014727484595999823,-0.002124834635227828,0.3717205775978638,0.1974921630094044,2.384185791015625e-07,-0.029383165925685725,-0.04745024184827389,-0.013083978332079173,0.03680138465880398,0.23510971786833856
M1_global_dev_blind_continuous,319,-0.03615248644706971,-0.05600071638810878,-0.017319303744568915,0.01615731494688303,0.3542319749216301,-0.04287366184605057,-0.06303633375339641,-0.024105463369970683,0.010751262458147877,0.3761755485893417,-0.018742761174713178,-0.028090091276224863,-0.009964677978739093,0.002643495771946807,0.3667711598746082,2.980232238769531e-07,,,,,
M1_global_dev_conditioned_binary,319,-0.022462161030141536,-0.04006293615133598,-0.005897274273549889,0.5643731204706579,0.31974921630094044,-0.027781279652688114,-0.04708830829477317,-0.009720747525424305,0.4931129995757946,0.32601880877742945,-0.010002020851571737,-0.01886040703349727,-0.0018442304857472327,0.9192479719328106,0.3981191222570533,2.980232238769531e-07,,,,,
M1_global_dev_conditioned_continuous,319,-0.027793111682498716,-0.04717627001990532,-0.008767175575175255,0.32106077111428,0.41379310344827586,-0.03154619781437346,-0.052974757607806906,-0.011193860899162487,0.25645748628227727,0.4106583072100313,-0.01380907732491209,-0.023629569916235615,-0.0041890805557977485,0.2351256553034613,0.41379310344827586,2.980232238769531e-07,,,,,
M2_team_dev_blind_continuous,319,-0.03360587145934658,-0.05415761161151818,-0.01345468303509828,0.1687824079958321,0.47962382445141066,-0.056776135309932085,-0.08002188473864325,-0.03431814470414561,0.0002193862093793499,0.40752351097178685,-0.019458084924841374,-0.029336771242857728,-0.009791584969220866,0.008140442565635089,0.45768025078369906,2.384185791015625e-07,-0.0573368697744892,-0.08037194270312806,-0.03477196954885028,0.00018851760584442514,0.4106583072100313
M2_team_dev_conditioned_continuous,319,0.02200872467416207,0.009371486730102832,0.03572893417834487,0.006144863212684431,0.542319749216301,0.016607679142633995,0.004460748442016796,0.029879736020341517,0.22581566838537204,0.5109717868338558,0.013265836294915604,0.006546123592083733,0.020364092236682528,0.004694520011201296,0.542319749216301,2.980232238769531e-07,,,,,
M2_team_dev_conditioned_continuous_seed123,319,0.006260192085956705,-0.006826827933772417,0.019368298858007105,0.543444995019448,0.49216300940438873,0.008754211040062144,-0.004344225429042451,0.021777349220772742,0.04462397842498528,0.5329153605015674,0.007406993719477639,0.001165069308026831,0.01381045131006958,0.050558764867979285,0.5203761755485894,2.384185791015625e-07,,,,,
M2_team_dev_conditioned_continuous_seed456,319,-0.0006262704986950446,-0.014761907139903978,0.01364999558005867,0.718564367581106,0.47962382445141066,-0.004612400413370913,-0.022332851491919152,0.012773353161634804,0.941926424496663,0.46394984326018807,-2.0887597601241826e-05,-0.007981687742154053,0.007921412876780876,0.6866216920520904,0.4827586206896552,2.384185791015625e-07,,,,,
M2_team_eval_blind_continuous,398,-0.03826932176648073,-0.055775745944985786,-0.021925300518846398,0.01673490490487254,0.44472361809045224,-0.05355298494631855,-0.07341561326643069,-0.03465051030493536,0.014131837246493936,0.44472361809045224,-0.01743894800468905,-0.02590226162243728,-0.009503786561626893,0.09239145330061577,0.4849246231155779,2.980232238769531e-07,-0.06301901252746077,-0.08412634857072337,-0.043049601330130825,4.356417888325502e-05,0.40703517587939697
M2_team_eval_conditioned_continuous,398,0.013767140257598164,0.0010497576168658706,0.026388662432942838,0.011675943159452477,0.5326633165829145,0.014133540243634604,0.0017037117527103384,0.026635275272917033,0.0015581929437177616,0.5577889447236181,0.0118795196015631,0.00559702323908781,0.018093263941943327,2.422981934716154e-06,0.6130653266331658,2.980232238769531e-07,0.010054134163986064,-0.003142229879131493,0.022984607872029154,0.07192909529778949,0.5276381909547738
M2_team_eval_conditioned_continuous_disjoint,390,0.01030505563204105,-0.0010717116587628155,0.021938542173458975,0.12728610907002466,0.4897435897435897,0.013013001249284653,0.0021495803897458796,0.024498601800388407,0.012104993700253322,0.541025641025641,0.007193798820177714,0.0015302397215213532,0.012989610410653626,0.05777515091985898,0.5,2.384185791015625e-07,,,,,
M2_team_eval_conditioned_continuous_gengemini38flash,398,0.029003136571328244,0.01598095247316076,0.04291305571195468,3.2978207255044235e-06,0.5376884422110553,0.027151494920904184,0.011047529566686459,0.04382330369866785,0.0024005626398548316,0.4849246231155779,0.015085128683540689,0.006609441845411033,0.023836413325376844,3.4065407993283894e-08,0.5527638190954773,2.384185791015625e-07,,,,,
M3_class_dev_blind_continuous,319,-0.06040340298815954,-0.08200062910988226,-0.038962366584057814,0.000232512713688006,0.3949843260188088,-0.07568656319277633,-0.10055993374400737,-0.051597783354981185,0.001457736403689371,0.4043887147335423,-0.029571550299755084,-0.03972287036735436,-0.019328761371699244,0.0001258940622251791,0.3981191222570533,2.384185791015625e-07,-0.08365297971337488,-0.1113248197258846,-0.05715013734775669,0.0005030507314901249,0.38557993730407525
M3_class_dev_conditioned_continuous,319,-0.026523014641480772,-0.049792486382502374,-0.003658367123536569,0.9194721755320256,0.43260188087774293,-0.034738320804167874,-0.059693085275944247,-0.010650172006909228,0.8705598616494218,0.4200626959247649,-0.00991267750629437,-0.021667707414836344,0.001653896687920189,0.7606845320704602,0.43573667711598746,2.980232238769531e-07,,,,,
M4_intersection_dev_blind_continuous,319,-0.05061848172012915,-0.07114858168781645,-0.030269429019906313,0.003475990129186878,0.4200626959247649,-0.06153578350626204,-0.08370937783261866,-0.039319884390586174,0.0007304688595474256,0.3981191222570533,-0.025619544485893368,-0.035671734602006615,-0.015574779688471159,0.001143556503752397,0.40752351097178685,2.384185791015625e-07,-0.062223752742877,-0.08596008845542825,-0.03861414905713045,0.0062223503224688856,0.4169278996865204
M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std1,319,0.007236951197202674,-0.0004944970358314955,0.015307348434080518,0.4517462354386854,0.3510971786833856,0.0053680568215884504,-0.0023922807528741806,0.013656976684794578,0.8532058628417317,0.30407523510971785,0.004887729042376095,0.0006285776865893438,0.0093569841691319,0.3246618810994042,0.36990595611285265,2.384185791015625e-07,0.0062596949887462686,-0.0017369416512825393,0.01465867041634768,0.3663634088008454,0.38557993730407525
M4_intersection_dev_blind_continuous_liftlaplace_eb_k10_pool_std2_ce_rerank,319,0.004078781401569193,-0.007113657348722123,0.015341140018034497,0.4136046029847371,0.4263322884012539,0.006450856042360294,-0.0049947086793958855,0.01810098571361763,0.09395062835206856,0.4482758620689655,0.004568769173188637,-0.0013389490521439921,0.01051263417055987,0.02662329265458276,0.48589341692789967,2.9802322398797543e-07,,,,,
M4_intersection_dev_blind_continuous_liftlaplace_eb_pool_std0.5_hybrid_rrf,319,-0.005972468892702109,-0.015538561914910244,0.00374312114589454,0.04788033802847855,0.3072100313479624,-0.00794590357047186,-0.01807991902198377,0.001718891491225768,0.9659742005895147,0.36990595611285265,-0.005779256267607394,-0.011056688752574222,-0.0005742235710628308,0.01662722436007172,0.34169278996865204,2.384185792125848e-07,-0.008900173512266353,-0.019830524879248614,0.0015248951525512798,0.6822837592449453,0.36363636363636365
M4_intersection_dev_conditioned_continuous,319,0.03143540199927775,0.018994111717798304,0.04519564087172754,0.00014405257544360242,0.4952978056426332,0.022752303228671104,0.010253760479442608,0.03628604925999256,0.005448364953102951,0.4890282131661442,0.018343177895560902,0.01160283604619271,0.025739056360104977,7.26205599936082e-06,0.5172413793103449,2.384185791015625e-07,,,,,
M4_intersection_dev_conditioned_continuous_gated,319,0.03198624287839967,0.019458957377319053,0.045674061446471084,5.5079683912831585e-05,0.4827586206896552,0.02476596115553396,0.012780102340986529,0.0378212255170314,0.001591525296905025,0.47962382445141066,0.018740676320084953,0.012105676160430458,0.026073060845693444,2.439170893813501e-06,0.5015673981191222,2.384185791015625e-07,0.02573866653028032,0.013653083851067012,0.038668493299999024,0.018868856688164206,0.445141065830721
M4_intersection_dev_conditioned_continuous_liftlaplace_eb_k10_pool_std1,319,0.007985608891633607,-0.0008272408446454668,0.01746441773533073,0.43206555383275214,0.3542319749216301,0.007737306033754936,-0.0006313315427490108,0.016762846287689304,0.21221639021482908,0.3542319749216301,0.006141699967339493,0.0012944929511943249,0.011371363657395288,0.12865105100661045,0.3887147335423197,2.384185791015625e-07,0.013229728119482859,0.004388496097940716,0.022615213334968385,0.02758728524413072,0.3824451410658307
M4_intersection_dev_conditioned_continuous_seed123,319,0.015410882528859617,0.004199152572378281,0.027023016570316957,0.01398090898214412,0.47962382445141066,0.018771662442065983,0.007869554671442743,0.029956992382201928,0.0015219708649916253,0.47962382445141066,0.009006507344380436,0.003744810623435013,0.014530555114477024,0.009001896194985924,0.5109717868338558,2.384185791015625e-07,,,,,
M4_intersection_dev_conditioned_continuous_seed456,319,0.012558463038321942,0.00074371619377764,0.02426232420562015,0.09106477359590814,0.46394984326018807,0.011083039335319142,0.00017861714577957976,0.02238493377138165,0.4964107599354558,0.4106583072100313,0.00715153568590696,0.0011949601451805012,0.013373550459695831,0.12067949770442359,0.4702194357366771,2.384185791015625e-07,,,,,
M4_intersection_eval_blind_continuous,398,-0.038320932013155826,-0.055883756175581084,-0.021584042636958428,0.010004502148912714,0.39949748743718594,-0.049066612571356104,-0.06956791318465369,-0.029020315873821492,0.06658927575042607,0.4296482412060301,-0.01746938695859669,-0.025987870433372463,-0.009127523319505572,0.03056144127012778,0.4321608040201005,2.980232238769531e-07,-0.057141853977596135,-0.07790098920187079,-0.037525078044776075,0.0004068217235087769,0.40954773869346733
M4_intersection_eval_conditioned_continuous,398,0.015115459716349988,0.003717640703590818,0.02647386145258518,0.05699153325637888,0.4798994974874372,0.01565319237022041,0.005223039497583695,0.026474331208332435,0.012953200548015768,0.47738693467336685,0.012138462695644125,0.006293100710190719,0.018167187576767184,0.001044881559655523,0.4949748743718593,2.980232238769531e-07,0.013629727775005632,0.003238670801364328,0.02429567265534748,0.32956348987607553,0.4623115577889447
M4_intersection_eval_conditioned_continuous_disjoint,390,0.015171023553762679,0.0051881490198847574,0.025656883164953723,0.02456857202517065,0.4717948717948718,0.014362877977973008,0.004908044716618149,0.024323289787672033,0.02110036214662381,0.4564102564102564,0.009550914779687536,0.004393404300014178,0.014975469612922414,0.006528520809612191,0.4794871794871795,2.384185791015625e-07,,,,,
M4_intersection_eval_conditioned_continuous_gated,398,0.016397502235881045,0.00521472498737088,0.027640888067757958,0.028095196554602637,0.46733668341708545,0.017904942376083356,0.00773465959803553,0.028456208100177727,0.0036754323809951367,0.4648241206030151,0.013004198895027885,0.007221912094696081,0.018914041604528465,0.00021980670718799213,0.4824120603015075,2.384185792125848e-07,0.015994863144277675,0.005588544275464369,0.02677913909708823,0.13296102811562607,0.46984924623115576
M4_intersection_eval_conditioned_continuous_gengemini38flash,398,0.040293221946936755,0.026576009469490555,0.05469594664366251,6.173625505656487e-09,0.5025125628140703,0.042900714176765053,0.02618113614938395,0.06052085833234361,2.3152251452047485e-05,0.44974874371859297,0.024134758429311627,0.016653542183152396,0.032409758929481454,6.414839732043671e-11,0.542713567839196,2.384185791015625e-07,,,,,
M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2,319,0.009587476829936888,0.0015003254806453565,0.017996517093531013,0.4161480354498598,0.30407523510971785,0.008462762694543543,0.00032541803930060087,0.017098612867753892,0.2682009266093187,0.30094043887147337,0.0068610421729312044,0.002502975470406881,0.011456335938556063,0.10236586861874535,0.3730407523510972,2.384185791015625e-07,0.008218559954803712,0.0002957056250293092,0.016745810422715706,0.13870937492199378,0.3730407523510972
M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2_gated,319,0.008759815911514259,0.0027088016773746315,0.015218627261330707,0.0813157263079567,0.23510971786833856,0.006503944346485822,0.0007347661619171721,0.013060776213579263,0.2733446505236766,0.21630094043887146,0.005854239284431672,0.0026684612175887643,0.009308795761725743,0.03208260155455268,0.29780564263322884,2.384185791015625e-07,0.006430054357991375,0.00048497818789887105,0.0127231454005191,0.26512443935650076,0.2664576802507837
M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2_seed123,319,0.004922027813510089,-0.005166518275383685,0.015526683559366802,0.5972998611586999,0.3103448275862069,0.0008710689384263571,-0.007631761682175977,0.00929984579711027,0.7802152976256461,0.29780564263322884,0.0030451534683801503,-0.0011810113737201937,0.007327670484874681,0.038987355056709604,0.36990595611285265,2.384185791015625e-07,0.0036771738016576497,-0.0053788796288892216,0.012973566178953544,0.7215020049802218,0.335423197492163
M5_backoff_dev_blind_continuous_liftlaplace_eb_pool_std0.5_minev2_seed456,319,-0.0008531376999747366,-0.008700129086718099,0.007146001742644745,0.24933927126531696,0.2601880877742947,-0.0012171779139360725,-0.008571044613056817,0.006131948363995148,0.11268193943504938,0.25391849529780564,-0.0012724052028596168,-0.005326373398677676,0.0028221009994001565,0.18834008258237112,0.29153605015673983,2.384185791015625e-07,-0.0011203642393539724,-0.008313575782115185,0.005864339011984886,0.5360623284054291,0.31974921630094044
