retriever,routing,lift,split,n,minilm_d_proxy_top1,minilm_fb_proxy_top1,minilm_d_proxy_best5,minilm_fb_proxy_best5,minilm_d_proxy_mean5,minilm_fb_proxy_mean5,minilm_d_same_reply_hit1,minilm_fb_same_reply_hit1,minilm_d_same_reply_hit5,minilm_fb_same_reply_hit5,minilm_d_group_hit1,minilm_fb_group_hit1,minilm_d_group_hit5,minilm_fb_group_hit5,primary_ci_lo,primary_ci_hi,primary_wilcoxon_p,pct_top1_changed,pct_improved,pct_worsened
dense_minilm,M4_intersection,laplace|abs,dev,8,0.13948210515081882,0.8861214444041252,0.07004592567682266,0.9270040765404701,0.08637192286550999,0.8690159462392331,0.125,0.375,0.125,0.375,0.0,0.0,0.0,0.0,-0.005965959280729294,0.3021534010767936,0.17295491798842066,0.75,0.5,0.25
dense_minilm,M4_intersection,laplace_eb_k2|abs,dev,8,0.14422431029379368,0.8908636495471001,0.05314257740974426,0.9101007282733917,0.09343211539089678,0.8760761387646198,0.125,0.375,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.30447468534111977,0.14412703481601533,0.5,0.375,0.125
dense_minilm,M4_intersection,laplace|std1,dev,8,0.02326894924044609,0.7699082884937525,0.04870949685573578,0.9056676477193832,0.025632612407207468,0.8082766357809306,0.0,0.25,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.06980684772133827,0.31731050786291415,0.125,0.125,0.0
dense_minilm,M4_intersection,laplace_eb_k2|std1,dev,8,0.02326894924044609,0.7699082884937525,0.050516463816165924,0.9074746146798134,0.03563127741217612,0.8182753007858992,0.0,0.25,0.125,0.375,0.0,0.0,0.0,0.0,0.0,0.06980684772133827,0.31731050786291415,0.125,0.125,0.0
dense_minilm,semantic_intersection_tau0.7,laplace|abs,dev,8,0.010648200288414955,0.7572875395417213,0.005679883062839508,0.862638033926487,0.0008293051272630705,0.783473328500986,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.011114027351140976,0.041885145008563995,0.7150006546880893,0.5,0.25,0.25
dense_minilm,semantic_intersection_tau0.7,laplace_eb_k2|abs,dev,8,-0.006118131801486015,0.7405212074518204,0.00515563040971756,0.862113781273365,0.002048562467098225,0.7846925858408212,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.014320874586701393,0.0,0.17971249487899976,0.25,0.0,0.25
dense_minilm,semantic_intersection_tau0.7,laplace|std1,dev,8,0.0,0.7466393392533064,0.004874333739280701,0.8618324846029282,-0.01416118517518044,0.7684828381985426,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
dense_minilm,semantic_intersection_tau0.7,laplace_eb_k2|std1,dev,8,0.0,0.7466393392533064,0.0004786550998687744,0.8574368059635162,-0.0013723090291023199,0.7812717143446207,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
dense_minilm,semantic_backoff_tau0.7,laplace|abs,dev,8,0.010648200288414955,0.7572875395417213,0.005679883062839508,0.862638033926487,0.0008293051272630705,0.783473328500986,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.011114027351140976,0.041885145008563995,0.7150006546880893,0.5,0.25,0.25
dense_minilm,semantic_backoff_tau0.7,laplace_eb_k2|abs,dev,8,-0.006118131801486015,0.7405212074518204,0.00515563040971756,0.862113781273365,0.002048562467098225,0.7846925858408212,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,-0.014320874586701393,0.0,0.17971249487899976,0.25,0.0,0.25
dense_minilm,semantic_backoff_tau0.7,laplace|std1,dev,8,0.0,0.7466393392533064,0.004874333739280701,0.8618324846029282,-0.01416118517518044,0.7684828381985426,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
dense_minilm,semantic_backoff_tau0.7,laplace_eb_k2|std1,dev,8,0.0,0.7466393392533064,0.0004786550998687744,0.8574368059635162,-0.0013723090291023199,0.7812717143446207,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
